Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Klabin Finance SA,KLBNDF,4.875,2027-09-19 00:00:00,2017-09-19,US49835LAB71,49835LAB7=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,High Yield,Yes,Financial - Other,Investment Holding Companies (NEC),Luxembourg,6799,Clean Transport,False,2017-09-12
Klabin Finance SA,KLBNDF,4.875,2027-09-19 00:00:00,2017-09-19,USL5828LAB55,BR168685564=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,High Yield,Yes,Financial - Other,Investment Holding Companies (NEC),Luxembourg,6799,Clean Transport,False,2017-09-12
Landwirtschaftliche Rentenbank,LRENT,2.435,2027-09-29 00:00:00,2017-09-29,XS1691887852,XS1691887852=LU,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,50000000,Investment Grade,Yes,Agency,Investment Banking & Brokerage Services (NEC),Germany,6029,Alternative Energy,False,2017-09-22
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.56,2027-10-06 00:00:00,2017-10-06,MYBVN1703047,MYSUK170304=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,7220216,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Alperia SpA,ALPER,3.116,2027-10-18 00:00:00,2017-10-18,XS1703060746,IT170306074=,Norwegian Krone,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,104669256,,Yes,Utility - Other,Renewable Energy Equipment & Services (NEC),Italy,4911,Energy Efficiency,False,2017-10-17
Innogy Finance BV,IGYIG,1.25,2027-10-19 00:00:00,2017-10-19,XS1702729275,DE170272927=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1004443183,Investment Grade,Yes,Financial - Other,Multiline Utilities,Netherlands,6726,Acquisition,False,2017-10-13
Iren SpA,IREE,1.5,2027-10-24 00:00:00,2017-10-24,XS1704789590,IT170478959=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Utility - Other,Multiline Utilities,Italy,4939,Energy Efficiency,True,2017-10-17
Berlin Hyp AG,EWRSFY,1.125,2027-10-25 00:00:00,2017-10-24,DE000BHY0GS9,DEBHY0GS=,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Retail & Mortgage Banks,Germany,6029,Green Construction,False,2017-10-17
Kuntarahoitus Oyj,KITUS,3.379,2027-10-25 00:00:00,2017-10-25,XS1706174015,FI170617401=,Australian Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,36369984,,Yes,Agency,Commercial Loans,Finland,6159,Clean Transport,False,2017-10-18
Agder Energi AS,AGDER,2.88,2027-11-02 00:00:00,2017-11-02,NO0010809486,NO1080948=,Norwegian Krone,Norway,Corporate,Bond,Plain Vanilla Fixed Coupon,83959296,,Yes,Utility - Other,Renewable Utilities,Norway,4911,Alternative Energy,False,2017-10-27
HKCG Finance Ltd,HKCNGF,2.84,2027-11-17 00:00:00,2017-11-17,HK0000375300,HK171984696=,Hong Kong Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,77421352,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Hong Kong,6799,General Purpose,False,2017-11-08
Fingrid Oyj,FINGD,1.125,2027-11-23 00:00:00,2017-11-23,XS1722899918,FI172289991=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,118169786,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),Finland,4911,Eligible Green Projects,False,2017-11-16
HKCG Finance Ltd,HKCNGF,0.35,2027-11-24 00:00:00,2017-11-24,XS1720566790,HK172056679=,Japanese Yen,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,18823529,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Hong Kong,6799,Alternative Energy,False,2017-11-14
Japan Railway Construction Transport and Technology Agency,JRCTT,0.23,2027-11-26 00:00:00,2017-11-28,JP354565BHB9,JP01091295=,Japanese Yen,Japan,Agency,Zaito Bond,Plain Vanilla Fixed Coupon,188235294,Investment Grade,Yes,Agency,"Passenger Transportation, Ground & Sea (NEC)",Japan,9621,Clean Transport,False,2017-11-17
Kommunalbanken AS,KOMBK,2,2027-11-29 00:00:00,2017-11-29,NO0010811276,NO1081127=,Norwegian Krone,Norway,Agency,Bond,Plain Vanilla Fixed Coupon,83959296,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Norway,6159,,False,2017-11-22
Bazalgette Finance PLC,BAZLEF,2.375,2027-11-29 00:00:00,2017-11-29,XS1726309286,GB172630928=,British Pound,Eurobond Market,Corporate,Bond,Plain Vanilla Fixed Coupon,329150922,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),United Kingdom,6799,Eligible Green Projects,False,2017-11-22
Power Finance Corporation Ltd,PWFC,3.75,2027-12-06 00:00:00,2017-12-06,XS1725342288,IN172534228=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,400000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),India,6799,Energy Efficiency,True,2017-11-28
Indian Railway Finance Corp Ltd,INRYF,3.835,2027-12-13 00:00:00,2017-12-13,XS1733877762,IN173387776=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Industrial Equipment Rental,India,6799,Clean Transport,False,2017-12-05
Nexity SA,NEXI,2.464,2027-12-20 00:00:00,2019-12-20,FR0013470010,FR0013470010=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,184344866,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",France,1531,Green Construction,True,2019-12-19
Pnb Merdeka Ventures Sdn Bhd,YPBTRM,4.81,2027-12-28 00:00:00,2019-06-28,MYBVM1901080,MYSUK190108A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,16847172,,Yes,Financial - Other,Corporate Financial Services (NEC),Malaysia,6726,Project Finance,False,2019-06-26
Segi Astana Sdn Bhd,WCTES,5.7,2028-01-07 00:00:00,2018-01-08,MYBUN1800118,MYUN180011=,Malaysian Ringgit,Malaysia,Corporate,Bond,Plain Vanilla Fixed Coupon,40914560,,Yes,Financial - Other,Commercial Buildings,Malaysia,6799,,False,2018-01-04
Swire Properties MTN Financing Ltd,SWRAYM,3.5,2028-01-10 00:00:00,2018-01-10,XS1743657683,HK174365768=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Hong Kong,6799,Energy Efficiency,False,2018-01-03
Nederlandse Waterschapsbank NV,NDLWR,1.5075,2028-01-24 00:00:00,2018-01-24,XS1757822496,NL175782249=,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,228073576,Investment Grade,Yes,Agency,Banks (NEC),Netherlands,6029,General Purpose,False,2018-01-17
Sinar Kamiri Sdn Bhd,SIKAM,5.6,2028-01-28 00:00:00,2018-01-30,MYBVN1800579,MYSUK180057=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Mudaraba),Plain Vanilla Fixed Coupon,3610108,,Yes,Utility - Other,Renewable Utilities,Malaysia,4911,General Purpose,False,2018-01-26
Vasakronan AB (publ),VASKNV,3.01,2028-01-31 00:00:00,2018-01-31,NO0010815202,NO1081520=,Norwegian Krone,Norway,Corporate,Bond,Plain Vanilla Fixed Coupon,44778291,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,,False,2018-01-24
KfW,KFW,1.375,2028-02-02 00:00:00,2018-02-02,XS1764081110,DE176408111=,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,570183941,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2018-01-26
US International Development Finance Corp,DFC,0.39158404,2028-02-15 00:00:00,2018-06-06,US6903533B18,6903533B1=FINR,US Dollar,United States,Agency,Certificate of Participation,Other / Complex Floating Rate,11700000,,Yes,Agency,,United States,9721,,False,2018-06-04
Pasukhas Green Assets Sdn Bhd,PASUK,5.5,2028-02-25 00:00:00,2019-02-28,MYBVM1900397,MYSUK190039A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,505415,,Yes,Financial - Other,Renewable Utilities,Malaysia,6726,Refinance/Financing expenses,False,2019-02-27
Growthpoint Properties Ltd,GRTJ,5.417,2028-03-09 00:00:00,2018-03-09,ZAG000150129,ZAGRT26GVT=J,South African Rand,South Africa,Corporate,Bond,Fixed Margin over Index,33464202,,Yes,Home Builders,Commercial REITs (NEC),South Africa,1531,Eligible Green Projects,True,2018-03-08
Clearway Energy Operating LLC,CWENCC,4.75,2028-03-15 00:00:00,2019-12-11,US18539UAC99,18539UAC9=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,850000000,High Yield,Yes,Financial - Other,Electric Utilities (NEC),United States,6726,Energy Efficiency,False,2019-12-04
Clearway Energy Operating LLC,CWENCC,4.75,2028-03-15 00:00:00,2019-12-11,USU1851TAB71,US209324172=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,600000000,High Yield,Yes,Financial - Other,Electric Utilities (NEC),United States,6726,Energy Efficiency,False,2019-12-04
Prologis International Funding II SA,PRLERP,1.75,2028-03-15 00:00:00,2018-03-15,XS1789176846,LU178917684=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Luxembourg,6799,Energy Efficiency,False,2018-03-01
Engie SA,ENGIE,1.5,2028-03-27 00:00:00,2017-03-27,FR0013245867,FR0013245867=,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,945358290,Investment Grade,Yes,Oil and Gas,Multiline Utilities,France,4925,Energy Efficiency,True,2017-03-15
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.6,2028-04-06 00:00:00,2017-10-06,MYBVO1703052,MYSUK170305=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,7220216,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Berlin Hyp AG,EWRSFY,1.5,2028-04-18 00:00:00,2018-04-17,DE000BHY0GB5,DEBHY0GB=,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Retail & Mortgage Banks,Germany,6029,,False,2018-04-10
UITM Solar Power Sdn Bhd,UITMPS,5.8,2028-04-27 00:00:00,2018-04-27,MYBVN1801692,MYSUK180169=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,3610108,,Yes,Gas Utility - Pipelines,Electric Utilities (NEC),Malaysia,4911,,False,2018-04-25
Manulife Financial Corp,MFC,3.317,2028-05-09 00:00:00,2018-05-09,CA56501RAG17,CA56501RAG1=,Canadian Dollar,Canada,Corporate,Debenture,Fixed then Floating,458155161,Investment Grade,Yes,Life Insurance,Life & Health Insurance (NEC),Canada,6311,Clean Transport,True,2018-05-07
Sogn og Fjordane Energi AS,SOGFJ,3.34,2028-05-23 00:00:00,2018-05-23,NO0010822992,NO1082299=,Norwegian Krone,Norway,Corporate,Bond,Plain Vanilla Fixed Coupon,22389145,,Yes,Utility - Other,Electric Utilities (NEC),Norway,4911,,False,2018-05-15
Vastra Gotalandsregionen,VSGTL,1.59,2028-05-30 00:00:00,2018-05-30,SE0010599258,SE0010599258=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,114036788,,Yes,Financial - Other,,Sweden,9199,Eligible Green Projects,False,2018-05-29
TenneT Holding BV,TNETH,1.375,2028-06-05 00:00:00,2018-06-05,XS1828037587,NL182803758=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Utility - Other,Electrical Transmission & Grid Equipment,Netherlands,4931,Eligible Green Projects,False,2018-05-22
CPPIB Capital Inc,CPPIBC,3,2028-06-15 00:00:00,2018-06-15,CA12593CAF82,CA12593CAF8=,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,1145387904,Investment Grade,Yes,Financial - Other,Investment Management & Fund Operators (NEC),Canada,6799,Energy Efficiency,False,2018-06-13
Public Service Company of Colorado,XELPS,3.7,2028-06-15 00:00:00,2018-06-21,US744448CP44,744448CP4=,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,350000000,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4911,Eligible Green Projects,False,2018-06-14
Trustee for the NAB Low Carbon Shared Portfolio,NABLC,1.7049,2028-06-19 00:00:00,2018-06-26,AU3FN0042826,AUNB0628F=,Australian Dollar,Australia,Corporate,Note,Fixed Margin over Index,145479938,,Yes,Financial - Other,"Clearing, Settlement & Custodial Service",Australia,6799,,False,2018-06-15
Cypark Ref Sdn Bhd,CYPRF,5.11,2028-06-30 00:00:00,2019-10-11,MYBVM1901999,MYSUK190199A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Construction & Engineering (NEC),Malaysia,4939,,False,2019-10-10
NRW Bank,NRWBK,0.75,2028-06-30 00:00:00,2018-07-02,DE000NWB0AF3,DENWB0AF=,Euro,Germany,Agency,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Banks (NEC),Germany,6022,,False,2018-06-25
Kommunekredit,KMUNK,0.75,2028-07-05 00:00:00,2018-07-05,XS1851226891,DK185122689=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Denmark,6159,Clean Transport,False,2018-06-27
Ignitis Grupe AB,INGTR,1.875,2028-07-10 00:00:00,2018-07-10,XS1853999313,LT185399931=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Utility - Other,Nuclear Utilities,Lithuania,4931,Clean Transport,False,2018-07-03
Tadau Energy Sdn Bhd,KGYEYT,5.7,2028-07-27 00:00:00,2017-07-27,MYBVO1702146,MYSUK170214=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,4813477,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,Project Finance,False,2017-07-27
Telekosang Hydro One Sdn Bhd,TELHY,5.05,2028-08-04 00:00:00,2019-08-06,MYBVM1901544,MYSUK190154=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,7220216,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4931,,False,2019-08-06
Japan Excellent Inc,JPEXC,0.63,2028-08-10 00:00:00,2018-08-10,JP304642AJ80,JP00148987=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,37647058,,Yes,Real Estate Investment Trust,Office REITs,Japan,6798,,True,2018-08-03
Sindicatum Renewable Energy Company Pte Ltd,SICUM,7.4,2028-08-15 00:00:00,2018-08-15,XS1862894125,SG186289412=,Philippine Peso,Eurobond Market,Corporate,Bond,Other / Complex Floating Rate,21805841,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Singapore,6799,,False,2018-08-15
Nippon Prologis REIT Inc,NPPRT,0.66,2028-08-17 00:00:00,2018-08-17,JP304755AJ83,JP00073283=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,56470588,,Yes,Real Estate Investment Trust,Industrial REITs,Japan,6798,,True,2018-08-10
US International Development Finance Corp,DFC,0.115033,2028-09-15 00:00:00,2016-11-28,US690353S320,690353S32=TWEB,US Dollar,United States,Agency,Certificate of Participation,Fixed Margin over Index,50000000,,Yes,Agency,,United States,9721,Alternative Energy,False,2016-11-28
Interstate Power and Light Co,LNTST,4.1,2028-09-26 00:00:00,2018-09-26,US461070AP91,461070AP9=,US Dollar,United States,Corporate,Debenture,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4911,Energy Efficiency,False,2018-09-19
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.64,2028-10-06 00:00:00,2017-10-06,MYBVO1703060,MYSUK170306=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,7220216,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Societe Generale (Taipei Branch),SOGNTW,1.12,2028-10-18 00:00:00,2018-10-18,TW000G137020,TWG13702=,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,17060188,,Yes,Banking,Banks (NEC),Taiwan,6081,Alternative Energy,False,2018-10-02
Societe du Grand Paris,SOGRP,1.125,2028-10-22 00:00:00,2018-10-22,FR0013372299,FR0013372299=,Euro,France,Agency,Bond,Plain Vanilla Fixed Coupon,2067971261,Investment Grade,Yes,Agency,Inter-Modal Passenger Transportation,France,9611,Eligible Green Projects,False,2018-10-09
ANA Holdings Inc,ALNPW,0.474,2028-10-24 00:00:00,2018-10-24,JP342980AJA5,JP00369202=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,94117647,,Yes,Airline,Airlines (NEC),Japan,4512,,True,2018-10-18
Daio Paper Corp,DAIOP,0.864,2028-10-25 00:00:00,2018-10-25,JP344040BJA4,JP00223880=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,47058823,,Yes,Publishing,Paper Products (NEC),Japan,2621,,True,2018-10-19
Evercore Casa de Bolsa SA de CV,EVRR,9.93,2028-11-08 00:00:00,2018-11-21,MX90GC040026,GCDMXCB18V=,Mexican Peso,Mexico,Corporate,Stock Exchange Certificate,Plain Vanilla Fixed Coupon,50879992,,Yes,Financial - Other,Wealth Management,Mexico,6211,,False,2018-11-21
Duke Energy Carolinas LLC,DUKDP,3.95,2028-11-15 00:00:00,2018-11-08,US26442CAX20,26442CAX2=,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,650000000,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4939,Eligible Green Projects,False,2018-11-05
New South Wales Treasury Corp,NSWTC,3,2028-11-15 00:00:00,2018-11-15,AU3SG0001878,AUN03001128=,Australian Dollar,Australia,Agency,Note,Plain Vanilla Fixed Coupon,1309319444,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Australia,6799,Eligible Green Projects,False,2018-11-09
South Coast British Columbia Transportation Authority,TLINK,3.25,2028-11-23 00:00:00,2018-11-23,CA83740TAG28,CA83740TAG2=,Canadian Dollar,Canada,Agency,Bond,Plain Vanilla Fixed Coupon,305436774,Investment Grade,Yes,Agency,"Passenger Transportation, Ground & Sea (NEC)",Canada,4119,Environmental Protection Projects,False,2018-11-15
La Poste SA,CDCECO,1.45,2028-11-30 00:00:00,2018-11-30,FR0013384567,FR0013384567=,Euro,France,Agency,Bond,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,"Courier, Postal, Air Freight & Land-based Logistics (NEC)",France,7389,Eligible Green Projects,False,2018-11-23
Boston Properties LP,BXPPI,4.5,2028-12-01 00:00:00,2018-11-28,US10112RBA14,10112RBA1=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,1000000000,Investment Grade,Yes,Financial - Other,"Real Estate Rental, Development & Operations (NEC)",United States,6726,Eligible Green Projects,False,2018-11-13
ERP Operating LP,EQROP,4.15,2028-12-01 00:00:00,2018-11-30,US26884ABK88,26884ABK8=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,400000000,Investment Grade,Yes,Real Estate Investment Trust,Residential REITs,United States,6798,Eligible Green Projects,False,2018-11-28
Kilroy Realty LP,KRCLP,4.75,2028-12-15 00:00:00,2018-11-29,US49427RAN26,49427RAN2=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,400000000,Investment Grade,Yes,Service - Other,Office Real Estate Rental & Development,United States,6531,Eligible Green Projects,False,2018-11-14
Itarema Geracao de Energia SA,ITMAR,7.8067,2028-12-15 00:00:00,2017-06-16,BRITMGDBS028,ITGE13=,Brazilian Real,Brazil,Corporate,Debenture,Plain Vanilla Fixed Coupon,21088781,,Yes,Utility - Other,Electric Utilities (NEC),Brazil,4911,Alternative Energy,False,2017-06-21
Mitsubishi UFJ Financial Group Inc,MTFGI,4.127,2028-12-18 00:00:00,2018-12-18,JP390290AJC6,JP390290AJC6=TE,US Dollar,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,120000000,,Yes,Banking,Banks (NEC),Japan,6712,,True,2018-12-07
GLP J-REIT,GLPCP,0.68,2028-12-20 00:00:00,2018-12-20,JP304751AJC2,JP00123281=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,47999999,,Yes,Real Estate Investment Trust,Industrial REITs,Japan,6798,,True,2018-12-14
Pnb Merdeka Ventures Sdn Bhd,YPBTRM,4.84,2028-12-28 00:00:00,2019-06-28,MYBVN1901096,MYSUK190109A=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,21660649,,Yes,Financial - Other,Corporate Financial Services (NEC),Malaysia,6726,Project Finance,False,2019-06-26
Indian Renewable Energy Development Agency Ltd,IREDA,8.51,2029-01-03 00:00:00,2019-01-03,INE202E07260,IN085129RI=BO,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,37443494,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2019-01-02
Brookfield Renewable Partners ULC,BAMWAF,4.25,2029-01-15 00:00:00,2018-09-20,CA11282ZAM01,CA11282ZAM0=,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,362706169,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Canada,6799,Acquisition,False,2018-09-18
Indian Renewable Energy Development Agency Ltd,IREDA,8.47,2029-01-17 00:00:00,2019-01-17,INE202E07278,INIREDA1729=,Indian Rupee,India,Agency,Bond,Plain Vanilla Fixed Coupon,80333315,,Yes,Agency,Commercial Loans,India,9311,Energy Efficiency,False,2019-01-16
SNCF Reseau,SNCFER,0.875,2029-01-22 00:00:00,2019-01-22,XS1938381628,FR193838162=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,1004443183,Investment Grade,Yes,Agency,Railway Operators,France,4011,Eligible Green Projects,False,2019-01-14
